   #Clust  Clust1:     Clust2:    Dist. based

    14       2           8              0.575
    14       2           9              0.907
    14       2          10              0.454
    14       2          11              0.886
    14       2          12              0.886
    14       2          13              0.827
    14       2          14              0.881
    14       3           4              0.654
    14       3           5              0.817
    14       3           6              0.414
    14       3           7              0.673
    14       3           8              0.759
    14       3           9              0.763
    14       3          10              0.824
    14       3          11              0.695
    14       3          12              0.565
    14       3          13              0.553
    14       3          14              0.687
    14       4           5              0.805
    14       4           6              0.485
    14       4           7              0.651
    14       4           8              0.696
    14       4           9              0.800
    14       4          10              0.777
    14       4          11              0.791
    14       4          12              0.744
    14       4          13              0.731
    14       4          14              0.674
    14       5           6              0.747
    14       5           7              0.665
    14       5           8              0.461
    14       5           9              0.897
    14       5          10              0.549
    14       5          11              0.879
    14       5          12              0.880
    14       5          13              0.728
    14       5          14              0.876
    14       6           7              0.315
    14       6           8              0.623
    14       6           9              0.816
    14       6          10              0.757
    14       6          11              0.787
    14       6          12              0.748
    14       6          13              0.429
    14       6          14              0.742
    14       7           8              0.377
    14       7           9              0.857
    14       7          10              0.682
    14       7          11              0.835
    14       7          12              0.821
    14       7          13              0.522
    14       7          14              0.811
    14       8           9              0.871
    14       8          10              0.295
    14       8          11              0.854
    14       8          12              0.847
    14       8          13              0.694
    14       8          14              0.836
    14       9          10              0.896
    14       9          11              0.332
    14       9          12              0.478
    14       9          13              0.851
    14       9          14              0.580
    14      10          11              0.882
    14      10          12              0.882
    14      10          13              0.785
    14      10          14              0.872
    14      11          12              0.348
    14      11          13              0.821
    14      11          14              0.657
    14      12          13              0.783
    14      12          14              0.384
    14      13          14              0.815

    15       1           2              0.817
    15       1           3              0.666
    15       1           4              0.183
    15       1           5              0.838
    15       1           6              0.586
    15       1           7              0.741
    15       1           8              0.772
    15       1           9              0.712
    15       1          10              0.810
    15       1          11              0.720
    15       1          12              0.591
    15       1          13              0.750
    15       1          14              0.408
    15       1          15              0.556
    15       2           3              0.881
    15       2           4              0.783
    15       2           5              0.756
    15       2           6              0.773
    15       2           7              0.755
    15       2           8              0.575
    15       2           9              0.907
    15       2          10              0.454
    15       2          11              0.886
